name,alcohol,drugs,weapons,gambling,nudity,sexy,smoking,violence,mask_alcohol,mask_drugs,mask_weapons,mask_gambling,mask_nudity,mask_sexy,mask_smoking,mask_violence
1.jpg,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
2.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
3.jpg,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
5.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
7.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
9.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
10.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
19.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
20.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
21.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
23.png,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
24.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
26.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
27.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
28.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
29.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
30.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
31.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
33.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
34.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
35.png,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
36.jpg,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
42.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
43.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
44.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
45.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
50.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
52.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
53.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
55.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
57.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
58.jpg,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
59.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
60.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
61.png,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
62.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
64.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
66.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
68.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
69.jpg,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
70.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
71.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
72.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
74.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
78.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
79.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
80.jpg,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
81.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
82.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
83.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
84.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
85.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
86.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
87.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
88.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
91.jpg,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
93.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
94.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
96.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
97.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
98.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
99.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
100.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
101.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
102.jpg,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
103.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
105.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
106.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
107.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
109.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
110.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
111.jpg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
